课程名,学分,主讲教师,上课时间,开课院系,掉课率
制造工程体验,2,徐静阳,3-4(全周);3-3(全周),训练中心,12.25
制造工程体验,2,汤彬,1-4(全周);1-3(全周),训练中心,46.62
制造工程体验,2,李双寿,2-4(全周);2-3(全周),训练中心,46.91
制造工程体验,2,彭世广,2-4(全周);2-3(全周),训练中心,48.8
制造工程体验,2,彭世广,3-4(全周);3-3(全周),训练中心,10.03
制造工程体验,2,杨建新,5-2(全周);5-1(全周),训练中心,10.68
制造工程体验,2,郭巍,5-4(全周);5-3(全周),训练中心,33.58
制造工程体验,2,杨忠昌,3-4(全周);3-3(全周),训练中心,30.17
制造工程体验,2,梁雄,5-2(全周);5-1(全周),训练中心,40.77
制造工程体验,2,杨忠昌,5-4(全周);5-3(全周),训练中心,32.17
创意设计与制造,2,张琦,2-2(全周);2-1(全周),训练中心,11.42
创业导引—与创业名家面对面,2,杨建新,2-6(全周),训练中心,32.97
大数据与机器智能,3,陈震,2-4(1-12周);2-3(1-12周),训练中心,42.57
智能移动机器人设计、编程与实践,2,陈震,6-4(前八周);6-3(前八周),训练中心,18.7
技术创新方法与实践,2,李璠,4-6(1-11周),训练中心,10.04
个性化3D设计与实现,2,杜平,3-4(1-12周);3-3(1-12周),训练中心,15.94
个性化3D设计与实现,2,彭世广,4-2(全周),训练中心,36.22
金融大数据与量化分析,3,陈震,1-4(1-12周);1-3(1-12周),训练中心,45.45
中华工匠——非遗技艺传承与技术创新,2,王德宇,5-3(全周),训练中心,34.31
智能车技术创新与实践,2,卓晴,3-6(全周),训练中心,13.34
能源技术创新与实践,2,林蔚然,3-2(1-13周),训练中心,19.0
智能工厂创新体验,2,李璠,1-6(1-11周),训练中心,13.12
手工制作创新实践,2,周玥,4-2(全周);4-1(全周),训练中心,11.66
手工制作创新实践,2,周玥,5-2(全周);5-1(全周),训练中心,14.67
手工制作创新实践,2,杨忠昌,4-2(全周);4-1(全周),训练中心,15.7
手工制作创新实践,2,徐静阳,4-2(全周);4-1(全周),训练中心,15.36
手工制作创新实践,2,郭巍,4-2(全周);4-1(全周),训练中心,16.96
手工制作创新实践,2,王海军,1-4(全周);1-3(全周),训练中心,15.73
人工智能产品创新实践,3,张烈,6-2(全周);6-1(全周),训练中心,16.67
人工智能产品创新实践,3,陈震,6-2(全周);6-1(全周),训练中心,92.87
设计思维与综合构成,3,庞观,1-4(1-12周);1-3(1-12周),训练中心,14.59
工业互联网与社会,2,朱峰,2-4(1-12周);2-3(1-12周),训练中心,19.07
机器人专业创新实践(设计方法),3,赵千川,1-6(全周),训练中心,12.4
创业思维,3,周晋,5-4(1-12周);5-3(1-12周),训练中心,46.82
产品创新管理与项目管理导论,1,朱峰,3-6(2-10周),训练中心,10.75
仿生学探索与实践,2,梁雄,5-4(1-12周);5-3(1-12周),训练中心,38.9
智能电子产品创新实践,2,张琦,4-6(1-12周),训练中心,41.62
数智健康医工交叉创新研究,3,张琦,4-2(1-12周);4-1(1-12周),训练中心,12.23
机器人应用与制作体验,2,朱峰,3-4(全周);3-3(全周),训练中心,19.98
手工书设计,2,庞观,3-4(1-12周);3-3(1-12周),训练中心,30.8
陶-铸艺术品的传承与创新,2,汤彬,3-4(1-13周);3-3(1-13周),训练中心,36.86
智慧能源技术与创新,3,林蔚然,6-2(全周);6-1(全周),训练中心,14.4
人工智能时代的设计思维,3,蒋红斌,1-4(前八周);1-3(前八周),训练中心,91.27
党的知识概论,2,张子健,7-6(全周),学生部,35.46
党的知识概论,2,杜函芮,7-6(全周),学生部,36.52
党的知识概论,2,刘传举,7-6(全周),学生部,41.21
党的知识概论,2,安云龙,7-6(全周),学生部,49.87
党的知识概论,2,刁昕玥,7-6(全周),学生部,13.31
党的知识概论,2,荆文锴,7-6(全周),学生部,33.74
党的知识概论,2,张景宇,7-6(全周),学生部,35.05
党的知识概论,2,魏晶,7-6(全周),学生部,37.77
